id,nombre,latitud,longitud,prioridad,ventana_inicio,ventana_fin,pedido,distrito
287,Mercado de Surquillo Express,-12.0577,-77.0464,2,11:00,19:00,240.15,Jesús María
288,Parque de las Leyendas Premium,-11.7483,-77.1545,4,09:00,21:00,163.89,Ancón
289,Parque El Olivar Plus,-12.0604,-77.0295,5,20:00,23:00,56.45,La Victoria
290,Restaurante Central Plus,-11.9977,-77.039,3,11:00,17:00,142.82,Independencia
291,Restaurante Osaka Express,-11.8237,-77.0026,5,15:00,21:00,41.07,San Juan de Lurigancho
292,Centro Comercial Larcomar Plus,-12.0272,-76.9324,1,15:00,23:00,217.06,Villa El Salvador
293,Hotel Hilton Premium,-12.0786,-76.9939,3,10:00,16:00,142.39,San Borja
294,Restaurante Osaka Premium,-12.0999,-77.0382,3,12:00,20:00,292.15,San Isidro
295,Aeropuerto Jorge Chávez Plus,-12.0827,-76.9924,1,15:00,23:00,430.88,San Borja
296,Hotel JW Marriott Premium,-11.9944,-77.0528,2,20:00,23:00,303.67,San Martín de Porres
297,Mercado de Chorrillos Express,-12.0221,-77.0265,4,19:00,23:00,181.51,Rímac
298,Restaurante Osaka 1,-11.9099,-77.048,1,11:00,14:00,276.06,Carabayllo
299,Centro Comercial Larcomar Plus,-11.9057,-77.1925,4,18:00,23:00,128.44,Ventanilla
300,Parque Reducto - Los Olivos,-12.0607,-77.1605,3,13:00,17:00,145.41,La Punta
301,Centro Comercial Plaza Lima Sur Plus,-12.4784,-77.0911,3,11:00,14:00,118.0,Villa María del Triunfo
302,Parque El Olivar Secundario,-12.082,-77.0011,5,17:00,23:00,107.89,San Borja
303,Universidad del Pacífico Express,-12.142,-77.0137,2,20:00,23:00,343.61,Barranco
304,Parque de la Amistad Oeste,-12.051,-77.0362,5,07:00,15:00,132.84,Pachacámac
305,Clínica Internacional Premium,-12.0562,-77.043,3,06:00,09:00,133.03,Jesús María
306,Universidad del Pacífico Premium,-12.3328,-76.9272,5,19:00,23:00,84.88,Lurín
307,Hospital María Auxiliadora Plus,-12.0809,-77.0624,3,11:00,23:00,271.81,Magdalena
308,Hospital María Auxiliadora Express,-12.0893,-76.9918,3,17:00,23:00,246.21,San Borja
309,Universidad del Pacífico Express,-11.9453,-76.8597,2,08:00,16:00,243.54,Mi Perú
310,Plaza Bolognesi - Chorrillos,-12.0752,-76.9599,4,09:00,15:00,88.97,La Molina
311,Hotel Hilton Plus,-12.4547,-76.9516,1,14:00,18:00,366.65,Chosica
312,Restaurante Rafael - Puente Piedra,-11.9545,-77.0522,1,09:00,15:00,374.4,Comas
313,Clínica San Felipe Terciario,-12.0635,-77.1617,1,20:00,23:00,384.09,La Punta
314,Clínica Delgado Terciario,-12.0555,-77.0578,4,13:00,23:00,126.36,Jesús María
315,Hotel Radisson Premium,-12.1662,-76.9548,2,10:00,22:00,197.1,Santa Rosa
316,Plaza Grau Express,-11.9509,-77.0534,3,17:00,23:00,159.88,Comas
317,Farmacia El Rey 4,-12.1236,-77.0255,5,11:00,13:00,51.11,Miraflores
318,Plaza Grau Premium,-12.2822,-76.9594,1,18:00,23:00,212.5,Villa María del Triunfo
319,Universidad Católica - Bellavista,-12.0717,-77.1798,4,20:00,23:00,121.32,La Punta
320,Centro Financiero 4,-12.1586,-77.0977,4,14:00,23:00,95.19,Lurigancho
321,Restaurante El Chinito Express,-12.0615,-77.1755,3,14:00,18:00,210.55,La Punta
322,Parque de la Reserva Plus,-12.4761,-77.06,4,11:00,17:00,119.21,Chorrillos
323,Hotel Marriott 4,-11.7472,-77.1561,3,07:00,09:00,108.06,Ancón
324,Farmacia InkaFarma Express,-11.891,-77.0487,4,07:00,15:00,89.1,Carabayllo
325,Hotel Country Club 5,-12.0158,-76.8463,2,19:00,23:00,263.4,Chosica
326,Parque Reducto 4,-12.2658,-77.1628,2,12:00,18:00,159.57,San Juan de Miraflores
327,Estadio Nacional Premium,-11.8732,-76.9713,2,06:00,12:00,216.14,Santa Rosa
328,Mercado de Miraflores - Independencia,-12.0548,-77.0521,2,07:00,19:00,252.24,Breña
329,Plaza Francia - Rímac,-12.1554,-76.9988,4,16:00,23:00,73.27,Surco
330,Centro Comercial Larcomar Sur,-12.0869,-77.0249,3,07:00,13:00,164.55,San Luis
331,Farmacia El Rey - Surco,-12.0888,-77.0063,1,11:00,19:00,453.11,San Borja
332,Universidad Ricardo Palma - Villa María del Triunfo,-12.0626,-77.0524,3,16:00,18:00,295.67,Pueblo Libre
333,Restaurante Central - La Punta,-12.1693,-77.0091,2,09:00,11:00,201.25,Surco
334,Farmacia Mifarma Plus,-12.1599,-76.9954,4,12:00,14:00,55.06,Surco
335,Mercado de Barranco Express,-12.0793,-77.046,2,18:00,23:00,249.82,Lince
336,Centro Comercial Real Plaza Express,-12.4435,-77.1147,1,18:00,20:00,478.78,Santa Rosa
337,Parque de la Amistad Principal,-12.0628,-77.0742,1,15:00,19:00,302.97,San Miguel
338,Hospital Nacional Dos de Mayo Express,-12.0595,-77.0127,4,12:00,14:00,54.85,El Agustino
339,Supermercado El Ahorro Norte,-12.0527,-77.1317,1,14:00,22:00,265.21,Bellavista
340,Mercado de Barranco Norte,-12.1523,-77.0031,2,07:00,10:00,342.74,Surco
341,Farmacia San Pablo Premium,-12.0742,-77.0233,4,17:00,19:00,60.49,La Victoria
342,Supermercado El Súper 2,-12.0341,-76.8971,1,13:00,15:00,329.45,Villa El Salvador
343,Supermercado El Ahorro Express,-12.0209,-77.0104,1,15:00,23:00,450.17,Rímac
344,Aeropuerto Jorge Chávez Terciario,-11.9034,-77.0428,1,19:00,23:00,456.47,Carabayllo
345,Universidad San Marcos Express,-12.2517,-77.0887,5,06:00,18:00,38.38,Chaclacayo
346,Santa Isabel Premium,-12.056,-77.0761,3,19:00,23:00,164.69,San Miguel
347,Farmacia Mifarma Express,-11.8914,-77.1907,3,09:00,11:00,193.89,Ventanilla
348,Mercado de San Isidro Oeste,-11.9814,-77.0347,2,16:00,22:00,298.75,Independencia
349,Centro Comercial Plaza Bellavista 4,-12.0932,-77.0267,4,06:00,18:00,106.43,San Luis
350,Supermercado Metro Premium,-12.0733,-77.1679,4,12:00,23:00,170.73,La Punta
351,Plaza San Martín Premium,-12.0634,-77.0866,3,15:00,19:00,160.98,San Miguel
352,Centro Comercial MegaPlaza Premium,-12.1396,-77.015,4,10:00,18:00,142.94,Barranco
353,Universidad UPC Norte,-12.1609,-77.0037,1,10:00,16:00,256.52,Surco
354,Plaza de la Revolución Premium,-11.9826,-77.0682,4,17:00,21:00,62.26,Los Olivos
355,Plaza Grau Oeste,-12.0753,-77.1192,2,09:00,11:00,238.55,San Juan de Lurigancho
356,Centro Comercial Plaza Lima Sur Principal,-12.1383,-77.0275,2,06:00,14:00,263.07,Barranco
357,Santa Isabel Plus,-12.0646,-77.0635,3,19:00,23:00,197.0,Pueblo Libre
358,Mercado de Chorrillos Express,-12.0849,-77.0612,4,11:00,14:00,186.96,Magdalena
359,Hospital María Auxiliadora 3,-11.9065,-77.2034,1,15:00,18:00,408.83,Ventanilla
360,Clínica Ricardo Palma Express,-11.7413,-77.153,4,10:00,18:00,115.77,Ancón
361,Universidad San Marcos Principal,-12.1163,-77.0298,2,06:00,08:00,282.66,Miraflores
362,Estadio Nacional Terciario,-11.947,-77.0575,4,10:00,12:00,119.43,Comas
363,Universidad Ricardo Palma - Carmen de la Legua,-12.0433,-77.1217,4,10:00,22:00,126.62,Carmen de la Legua
364,Centro Comercial Plaza Norte 1,-11.832,-77.0824,2,17:00,23:00,306.93,Chaclacayo
365,Universidad San Martín Plus,-12.1147,-77.0375,3,16:00,22:00,161.42,Miraflores
366,Plaza Vea Plus,-12.0934,-77.0499,3,11:00,19:00,111.89,San Isidro
367,Clínica Internacional Plus,-12.066,-77.0666,3,15:00,23:00,132.34,Pueblo Libre
368,Universidad San Marcos Plus,-12.0514,-77.0748,5,13:00,16:00,30.2,San Miguel
369,Restaurante La Mar - La Victoria,-12.2003,-77.1078,2,18:00,20:00,162.4,San Juan de Miraflores
370,Restaurante El Rincón del Ceviche Secundario,-11.9556,-76.8571,3,06:00,14:00,250.19,Chosica
371,Restaurante El Mercado 3,-12.0299,-77.0286,3,16:00,18:00,159.05,Rímac
372,Universidad de Lima Express,-12.0889,-76.9402,2,06:00,14:00,263.36,La Molina
373,Centro Financiero Terciario,-12.051,-77.1526,4,08:00,16:00,173.73,Callao
374,Parque Reducto - Ate,-12.4583,-77.0489,3,12:00,18:00,232.8,San Juan de Lurigancho
375,Plaza de Acho 1,-12.0551,-77.1215,4,15:00,23:00,84.38,Bellavista
376,Hotel Sheraton Express,-11.83,-77.1158,3,16:00,20:00,208.58,Chosica
377,Hotel Westin Principal,-12.1537,-77.007,2,13:00,23:00,346.76,Surco
378,Hotel Hilton Sur,-12.1521,-76.9607,1,19:00,22:00,384.58,Pachacámac
379,Universidad Científica del Sur 4,-11.894,-77.0504,1,12:00,23:00,291.56,Carabayllo
380,Farmacia Arcángel - San Borja,-11.755,-77.1597,3,13:00,15:00,201.13,Ancón
381,Farmacia Universal 1,-12.4681,-76.8204,2,06:00,14:00,244.45,Villa El Salvador
382,Universidad Ricardo Palma Oeste,-12.0351,-77.0143,4,13:00,15:00,107.75,Rímac
383,Parque Kennedy Terciario,-11.9053,-77.0496,3,13:00,16:00,247.72,Carabayllo
384,Aeropuerto Jorge Chávez 5,-12.0425,-76.9411,3,08:00,16:00,144.29,Ate
385,Vivanda Terciario,-12.0324,-76.9181,3,20:00,23:00,121.82,Villa El Salvador
386,Plaza de Acho - Lince,-11.9863,-77.0653,2,16:00,23:00,391.96,Los Olivos
387,Centro Comercial Larcomar Plus,-11.9633,-76.9419,1,14:00,16:00,427.55,Chosica
388,Farmacia Arcángel Plus,-12.035,-77.0121,2,14:00,17:00,342.94,Rímac
389,Universidad San Marcos Oeste,-12.1444,-77.0489,5,08:00,12:00,41.57,Villa El Salvador
390,Universidad Católica 2,-12.0774,-77.0239,4,08:00,14:00,169.31,La Victoria
391,Farmacia Mifarma Premium,-11.9502,-76.8959,4,18:00,23:00,190.13,Villa El Salvador
392,Universidad UPC Premium,-12.1193,-77.0222,2,09:00,17:00,351.85,Miraflores
393,Restaurante Central Express,-11.9343,-77.1622,5,18:00,22:00,149.7,Villa El Salvador
394,Supermercado El Súper Express,-12.0424,-77.025,1,17:00,23:00,487.29,El Agustino
395,Centro Comercial Plaza Lima Sur Principal,-12.0952,-76.9263,2,18:00,23:00,203.56,Villa El Salvador
396,Restaurante El Rincón del Ceviche Norte,-12.1111,-77.0223,1,09:00,17:00,343.42,Miraflores
397,Hotel Marriott Secundario,-11.9942,-77.0272,1,08:00,16:00,275.42,Independencia
398,Plaza de la Democracia Premium,-12.1185,-77.1825,2,11:00,14:00,214.89,Pachacámac
399,Santa Isabel Premium,-11.8759,-77.1222,3,11:00,13:00,159.47,Santa Rosa
400,Universidad Ricardo Palma - Carabayllo,-12.0831,-77.0682,4,06:00,10:00,160.04,Magdalena
401,Hotel Hilton Sur,-11.9483,-77.0413,1,15:00,23:00,486.7,Comas
402,Hotel Radisson Premium,-12.0782,-76.9592,2,16:00,23:00,301.33,La Molina
403,Centro Comercial Plaza Norte Premium,-12.0002,-77.0594,2,13:00,17:00,379.67,San Martín de Porres
404,Farmacia El Súper - Bellavista,-12.0872,-77.0767,5,12:00,23:00,44.88,Magdalena
405,Centro Comercial Mall Aventura Plus,-12.0646,-77.0825,2,07:00,09:00,219.47,San Miguel
406,Aeropuerto Jorge Chávez Premium,-12.4884,-77.0808,4,20:00,23:00,124.49,Villa María del Triunfo
407,Centro Comercial MegaPlaza 1,-12.1565,-77.0062,2,08:00,12:00,240.63,Surco
408,Estadio Nacional Express,-11.7432,-77.1516,2,07:00,19:00,179.7,Ancón
409,Plaza Grau - Pachacámac,-11.9726,-77.0034,3,17:00,21:00,110.05,Mi Perú
410,Hotel Wyndham 4,-12.2874,-77.1679,3,11:00,13:00,124.51,San Juan de Miraflores
411,Hotel JW Marriott - Ventanilla,-12.0322,-77.123,4,16:00,23:00,198.28,Carmen de la Legua
412,Farmacia San Pablo Express,-12.0435,-77.1966,4,16:00,23:00,184.34,Villa María del Triunfo
413,Farmacia Universal Oeste,-12.1066,-77.0464,3,07:00,13:00,182.68,San Isidro
414,Centro Comercial Larcomar Premium,-12.0847,-77.0661,4,06:00,10:00,177.43,Magdalena
415,Centro Comercial Larcomar Secundario,-11.9548,-77.0542,3,15:00,18:00,112.64,Comas
416,Centro Comercial Plaza Lima Sur Plus,-11.9941,-77.0392,1,08:00,10:00,360.12,Independencia
417,Farmacia El Rey Express,-11.9874,-77.0638,1,08:00,11:00,279.33,Los Olivos
418,Vivanda 3,-12.0797,-76.9925,2,20:00,23:00,258.93,San Borja
419,Farmacia Mifarma Principal,-12.0786,-77.1658,2,16:00,18:00,298.33,La Punta
420,Plaza de la Revolución Principal,-12.0375,-77.0216,2,16:00,18:00,362.53,Rímac
421,Universidad de Lima Premium,-12.1432,-76.914,2,20:00,23:00,212.58,Chorrillos
422,Farmacia Mifarma Principal,-11.9856,-77.0772,1,13:00,17:00,204.11,Los Olivos
423,Centro Comercial Plaza Central - Chorrillos,-11.7532,-77.1482,2,20:00,23:00,276.23,Ancón
424,Universidad Ricardo Palma Terciario,-11.8948,-77.1934,1,13:00,17:00,309.45,Ventanilla
425,Parque de la Media Luna Premium,-12.3089,-77.1982,5,19:00,23:00,59.46,San Juan de Miraflores
426,Parque de la Familia 1,-12.0552,-77.0501,1,18:00,23:00,449.3,Jesús María
427,Centro Comercial Larcomar - Surco,-12.2231,-76.9824,2,15:00,21:00,385.96,Chaclacayo
428,Plaza Vea 2,-12.0075,-77.0471,2,17:00,20:00,184.79,San Martín de Porres
429,Clínica San Felipe - Jesús María,-12.4295,-77.1621,2,07:00,09:00,361.0,Lurín
430,Clínica San Felipe Express,-12.366,-77.1612,1,15:00,21:00,393.93,Villa María del Triunfo
431,Hotel Belmond Secundario,-11.7481,-77.1546,3,11:00,15:00,193.84,Ancón
432,Hotel Hilton Premium,-12.0745,-77.0466,4,09:00,12:00,71.52,Lince
433,Centro Comercial Mall Aventura - Lurigancho,-11.9425,-77.0484,1,08:00,20:00,218.3,Comas
434,Centro Comercial MegaPlaza Norte,-11.9407,-77.0483,1,20:00,23:00,380.89,Comas
435,Restaurante Rafael Principal,-12.0875,-77.0633,2,20:00,23:00,153.9,Magdalena
436,Centro Comercial Open Plaza Terciario,-12.163,-76.9934,3,11:00,17:00,288.38,Surco
437,Hotel Sonesta Plus,-12.0814,-76.9509,2,13:00,16:00,263.38,La Molina
438,Parque de la Exposición 5,-12.0807,-76.8403,5,19:00,21:00,97.78,Santiago de Surco
439,Plaza de la Democracia Premium,-12.0531,-77.0482,1,06:00,10:00,207.14,Breña
440,Hotel Marriott Express,-11.981,-77.061,2,07:00,15:00,218.48,Los Olivos
441,Parque de la Media Luna Terciario,-12.1509,-77.0048,3,13:00,16:00,102.89,Surco
442,Restaurante Central Oeste,-12.0771,-76.9989,1,10:00,18:00,341.36,San Borja
443,Parque de las Leyendas Express,-11.9819,-77.03,1,20:00,23:00,260.75,Independencia
444,Aeropuerto Jorge Chávez Sur,-12.1395,-76.9022,3,16:00,23:00,222.95,Lurín
445,Universidad UPC - Ventanilla,-12.0609,-77.0832,3,13:00,17:00,212.78,San Miguel
446,Plaza de la Revolución Plus,-12.055,-77.056,3,07:00,15:00,230.52,Jesús María
447,Farmacia Arcángel 1,-12.0784,-77.0076,3,06:00,08:00,174.21,San Borja
448,Farmacia El Súper Sur,-11.7523,-77.1468,2,14:00,23:00,361.4,Ancón
449,Restaurante La Picantería - Bellavista,-12.0743,-77.0463,4,10:00,16:00,70.75,Lince
450,Mercado Central Premium,-12.0759,-77.05,1,11:00,15:00,239.27,Lince
451,Centro Comercial Larcomar Plus,-12.3252,-77.0488,4,18:00,22:00,170.26,Chaclacayo
452,Farmacia El Rey Premium,-12.0547,-77.0537,3,13:00,15:00,151.36,Breña
453,Wong Secundario,-12.2223,-76.807,1,17:00,23:00,383.9,San Juan de Miraflores
454,Hospital Nacional Dos de Mayo Premium,-12.0517,-77.0425,5,10:00,12:00,32.33,Breña
455,Centro Comercial Plaza Bellavista 2,-12.3273,-76.9462,5,16:00,23:00,68.53,Chosica
456,Centro Comercial Real Plaza Plus,-11.9072,-77.2006,1,06:00,18:00,238.41,Ventanilla
457,Universidad Ricardo Palma Este,-12.0172,-76.8948,3,09:00,11:00,123.1,Pachacámac
458,Plaza de Acho - San Juan de Miraflores,-12.0694,-77.1316,2,15:00,23:00,295.68,Bellavista
459,Restaurante La Mar Oeste,-12.0603,-77.0426,3,09:00,21:00,276.28,Jesús María
460,Centro Comercial Plaza San Miguel Express,-11.9769,-77.0891,2,18:00,20:00,257.32,Chaclacayo
461,Mercado de Chorrillos - San Miguel,-12.0941,-77.0344,3,08:00,10:00,208.49,San Isidro
462,Plaza Dos de Mayo - Pachacámac,-11.9833,-77.0313,3,13:00,19:00,254.59,Independencia
463,Supermercado El Tigre Plus,-12.1037,-77.0411,5,17:00,23:00,129.29,San Isidro
464,Centro Comercial Plaza Bellavista Premium,-12.0561,-77.0796,2,13:00,17:00,283.35,San Miguel
465,Restaurante Maido 1,-12.2006,-76.9493,4,13:00,19:00,169.66,Villa María del Triunfo
466,Plaza San Martín Premium,-12.0804,-77.0173,4,11:00,15:00,190.31,San Luis
467,Plaza de la Bandera 5,-12.3298,-76.9006,2,09:00,12:00,377.94,Lurigancho
468,Parque El Olivar - La Punta,-12.0871,-77.0599,1,11:00,19:00,280.82,Lince
469,Plaza de la Bandera Express,-12.1571,-77.0072,3,20:00,23:00,196.16,Surco
470,Centro Comercial Plaza Bellavista Premium,-11.9193,-77.18,3,13:00,19:00,257.95,Lurín
471,Parque de la Exposición Express,-12.0066,-77.0411,2,12:00,18:00,208.63,San Martín de Porres
472,Restaurante Maido Premium,-12.128,-77.0304,1,18:00,21:00,248.71,Miraflores
473,Plaza de Acho Sur,-12.1492,-77.0174,3,08:00,10:00,241.99,Barranco
474,Plaza Grau - Barranco,-12.463,-76.807,1,09:00,17:00,255.57,Mi Perú
475,Centro Comercial Real Plaza Principal,-12.1673,-77.001,3,09:00,15:00,127.03,Surco
476,Restaurante Rafael Plus,-12.0963,-77.0414,3,14:00,22:00,111.6,San Isidro
477,Parque de la Media Luna - Santiago de Surco,-12.069,-77.0533,3,16:00,23:00,136.11,Pueblo Libre
478,Universidad UPC - El Agustino,-12.0645,-77.0464,2,16:00,19:00,299.08,Jesús María
479,Supermercado El Triunfo Plus,-12.1016,-77.0167,3,18:00,23:00,114.32,Chaclacayo
480,Restaurante La Picantería 1,-12.1853,-76.8122,1,07:00,13:00,303.94,Villa El Salvador
481,Hotel Wyndham Oeste,-12.0841,-76.9433,2,06:00,10:00,240.53,La Molina
482,Hotel JW Marriott Express,-12.1346,-77.0165,1,08:00,14:00,356.05,Barranco
483,Hospital María Auxiliadora Norte,-11.7588,-77.1403,2,12:00,23:00,391.55,Ancón
484,Farmacia InkaFarma Express,-12.0003,-77.0426,1,18:00,23:00,470.13,San Martín de Porres
485,Centro Comercial Open Plaza 3,-12.024,-76.9958,2,17:00,23:00,335.0,Chorrillos
486,Mercado de Barranco 1,-12.0681,-77.0899,1,06:00,10:00,307.73,San Miguel
487,Parque de las Leyendas 5,-12.079,-77.1753,1,19:00,21:00,284.81,La Punta
488,Mercado de Miraflores Express,-12.0719,-77.0436,1,10:00,13:00,442.04,Lince
489,Mercado de Miraflores Terciario,-12.2695,-76.892,3,15:00,23:00,257.32,Chorrillos
490,Plaza San Martín Express,-11.7478,-77.1422,5,07:00,19:00,125.87,Ancón
491,Plaza de la Bandera Plus,-12.072,-77.1686,4,08:00,16:00,193.23,La Punta
492,Parque de la Pera 4,-12.0159,-76.9629,3,08:00,12:00,175.61,San Juan de Miraflores
493,Restaurante Rafael Plus,-11.7474,-77.1535,2,11:00,13:00,387.92,Ancón
494,Farmacia Mifarma Premium,-12.0307,-76.9634,3,20:00,23:00,238.59,Chaclacayo
495,Restaurante Rafael - Barranco,-12.1416,-77.0105,2,18:00,23:00,224.79,Barranco
496,Plaza de Acho Plus,-12.0515,-77.0444,2,13:00,23:00,352.55,Breña
497,Universidad Privada del Norte Terciario,-12.3333,-76.887,1,11:00,13:00,235.58,Lurigancho
498,Restaurante El Chinito Express,-12.318,-76.8593,2,07:00,19:00,174.31,Chaclacayo
499,Clínica Delgado Oeste,-11.806,-76.9543,3,07:00,15:00,170.7,Santiago de Surco
500,Universidad San Martín Principal,-12.0734,-77.0732,5,18:00,22:00,128.0,Magdalena
501,Universidad Científica del Sur 2,-12.0473,-77.0515,5,15:00,17:00,116.73,Breña
502,Restaurante El Chinito Norte,-12.0612,-77.0554,1,09:00,17:00,289.77,Pueblo Libre
503,Restaurante Osaka Express,-12.1464,-77.008,2,15:00,19:00,327.6,Villa El Salvador
504,Centro Comercial Plaza Bellavista Express,-12.0434,-76.8693,4,11:00,23:00,61.34,Villa María del Triunfo
505,Universidad de Lima Express,-12.1794,-76.9638,2,07:00,11:00,282.05,Villa María del Triunfo
506,Universidad ESAN Premium,-12.3933,-77.1596,2,12:00,16:00,254.4,Chaclacayo
507,Supermercado El Ahorro Terciario,-12.0424,-77.1416,1,12:00,15:00,251.81,Callao
508,Universidad del Pacífico Express,-12.0419,-77.0197,3,12:00,20:00,179.96,El Agustino
509,Parque de la Reserva Express,-12.1381,-77.0113,3,14:00,23:00,297.63,Barranco
510,Restaurante El Rincón del Ceviche Express,-12.0493,-76.9517,2,12:00,14:00,159.89,Ate
511,Restaurante Amaz Oeste,-12.0992,-77.017,3,19:00,22:00,183.56,San Luis
512,Mercado de Miraflores 2,-11.9419,-77.0425,2,14:00,18:00,341.51,Comas
513,Universidad San Martín Plus,-12.0973,-77.0602,3,08:00,10:00,283.98,Pachacámac
514,Supermercado El Súper Este,-11.842,-77.039,1,20:00,23:00,350.42,Pachacámac
515,Centro Comercial Real Plaza 5,-12.0531,-77.0438,3,14:00,18:00,141.71,Breña
516,Supermercado El Ahorro Express,-12.0329,-77.1245,2,07:00,11:00,156.07,Carmen de la Legua
517,Plaza Francia Plus,-12.2112,-77.0597,4,13:00,21:00,137.27,San Juan de Miraflores
518,Farmacia Boticas Secundario,-12.0788,-76.9547,4,09:00,12:00,62.66,La Molina
519,Hotel Country Club Plus,-12.1513,-76.9974,3,17:00,20:00,211.63,Surco
520,Farmacia El Ahorro Terciario,-12.1609,-76.9997,2,19:00,21:00,202.76,Surco
521,Plaza de la Democracia Secundario,-12.0736,-77.1624,1,14:00,17:00,447.29,La Punta
522,Supermercado Metro Plus,-12.0719,-77.0382,3,06:00,18:00,274.59,La Victoria
523,Restaurante El Mercado 5,-11.9812,-77.037,5,06:00,10:00,68.82,Independencia
524,Mercado de Chorrillos Premium,-12.0564,-77.0467,4,09:00,13:00,66.1,Breña
525,Supermercado El Súper Este,-11.8557,-77.0968,2,11:00,19:00,355.04,Puente Piedra
526,Farmacia Boticas Norte,-12.0306,-77.0255,1,20:00,22:00,309.18,Rímac
527,Farmacia Mifarma 5,-12.0739,-77.0351,1,17:00,23:00,484.64,La Victoria
528,Supermercado El Tigre 2,-11.9432,-77.0573,3,15:00,23:00,107.74,Comas
529,Tottus Premium,-11.8982,-77.0402,2,13:00,23:00,369.63,Carabayllo
530,Centro Comercial Larcomar - Lince,-12.0487,-77.1509,1,17:00,19:00,399.48,Callao
531,Estadio Nacional Express,-12.0518,-76.9469,2,06:00,14:00,250.91,Ate
532,Estadio Nacional Express,-12.0101,-76.9822,5,18:00,23:00,128.98,San Juan de Miraflores
533,Vivanda Secundario,-12.0363,-77.122,2,20:00,23:00,375.02,Carmen de la Legua
534,Hotel JW Marriott Express,-12.1129,-76.957,5,06:00,09:00,40.3,Villa El Salvador
535,Parque de la Pera - Callao,-12.1771,-77.0102,3,14:00,20:00,233.7,Villa María del Triunfo
536,Aeropuerto Jorge Chávez - Chaclacayo,-11.9594,-77.1578,4,15:00,23:00,185.61,Santiago de Surco
537,Supermercado Metro Plus,-11.9563,-77.0494,3,10:00,14:00,263.57,Comas
538,Plaza Vea Express,-11.9589,-77.0745,1,11:00,15:00,235.69,Villa El Salvador
539,Mercado de Barranco Premium,-12.0759,-76.9943,3,10:00,13:00,136.23,San Borja
540,Farmacia Arcángel - La Victoria,-12.0347,-77.1193,2,18:00,23:00,274.04,Carmen de la Legua
541,Parque de la Amistad Premium,-12.059,-77.0872,4,06:00,18:00,128.35,San Miguel
542,Plaza de la Bandera Express,-11.9509,-77.0465,1,06:00,18:00,302.48,Comas
543,Hospital Nacional Dos de Mayo Express,-12.0139,-76.9837,4,19:00,23:00,67.39,Chaclacayo
544,Supermercado El Rey Express,-12.0584,-77.0853,4,13:00,17:00,171.67,San Miguel
545,Universidad del Pacífico - Independencia,-12.0778,-76.9941,2,13:00,16:00,344.53,San Borja
546,Centro Financiero Norte,-11.8995,-77.2061,3,17:00,23:00,291.92,Ventanilla
547,Parque de la Familia Principal,-12.0547,-77.0486,5,09:00,21:00,148.25,Breña
548,Parque de la Media Luna Express,-12.0731,-77.0566,2,13:00,21:00,246.27,Pueblo Libre
549,Centro Comercial Larcomar Plus,-11.9946,-76.9973,4,06:00,09:00,196.59,Villa El Salvador
550,Clínica Anglo Americana Secundario,-12.0302,-77.016,1,09:00,15:00,218.65,Rímac
551,Plaza de la Bandera 1,-12.2553,-77.1896,5,08:00,14:00,131.99,San Juan de Miraflores
552,Parque El Olivar Secundario,-12.0542,-77.1292,4,09:00,11:00,185.42,Bellavista
553,Wong Plus,-12.0594,-77.0493,1,12:00,15:00,469.69,Breña
554,Restaurante El Rincón del Ceviche Oeste,-12.086,-76.9473,1,06:00,10:00,268.46,La Molina
555,Plaza Grau Sur,-12.0857,-76.9503,4,18:00,20:00,117.43,La Molina
556,Farmacia Cruz Verde Plus,-12.1283,-77.0219,3,07:00,10:00,161.52,Miraflores
557,Clínica Internacional Plus,-12.4239,-77.0459,1,08:00,12:00,203.22,Santa Rosa
558,Restaurante El Chinito Secundario,-11.9727,-76.9858,1,19:00,23:00,261.54,Chaclacayo
559,Clínica Anglo Americana Premium,-12.0799,-76.9538,1,15:00,23:00,335.37,La Molina
560,Plaza Francia Plus,-11.9972,-77.0259,4,13:00,16:00,116.1,Independencia
561,Universidad Católica Oeste,-12.112,-77.0204,2,09:00,12:00,372.29,Miraflores
562,Hospital María Auxiliadora Terciario,-12.0716,-77.0488,1,20:00,23:00,472.36,Lince
563,Farmacia San Pablo Norte,-12.0203,-77.0122,2,09:00,17:00,260.62,Rímac
564,Parque Reducto Terciario,-12.2606,-76.9429,3,17:00,23:00,251.14,Lurín
565,Farmacia Cruz Verde - San Borja,-12.0692,-77.0425,1,17:00,23:00,327.43,Lurigancho
566,Hospital Alberto Sabogal Secundario,-11.9453,-77.0429,5,09:00,15:00,84.89,Comas
567,Restaurante La Picantería Plus,-11.8506,-77.1312,4,17:00,23:00,145.82,Villa María del Triunfo
568,Centro Comercial Plaza Norte Sur,-12.0318,-77.0297,1,07:00,13:00,413.49,Rímac
569,Plaza Bolognesi Sur,-11.9553,-77.0452,2,17:00,20:00,246.52,Comas
570,Plaza Grau Express,-12.0698,-77.0202,4,11:00,14:00,134.05,La Victoria
571,Restaurante Maido Premium,-12.0421,-77.049,3,13:00,19:00,271.09,Breña
572,Plaza San Martín Secundario,-11.98,-77.0356,2,14:00,23:00,301.32,Independencia
573,Parque de la Reserva Express,-12.2465,-77.0716,1,08:00,10:00,427.26,San Juan de Lurigancho
574,Farmacia Mifarma Sur,-11.9078,-77.1989,3,10:00,16:00,107.03,Ventanilla
575,Clínica Internacional Terciario,-11.9429,-77.0575,3,14:00,17:00,271.45,Comas
